iata,icao,name,city,country,timezone,utc_offset_hours,dst,openflights_id
SUX,KSUX,Sioux Gateway Col. Bud Day Field,Sioux City,United States,America/Chicago,-6,A,3753
SUY,UENS,Suntar Airport,Suntar,Russia,Asia/Yakutsk,9,N,9821
SVA,PASA,Savoonga Airport,Savoonga,United States,America/Anchorage,-9,A,6724
SVB,FMNS,Sambava Airport,Sambava,Madagascar,Indian/Antananarivo,3,U,933
SVD,TVSA,Argyle International Airport,Kingstown,Saint Vincent and the Grenadines,America/St_Vincent,-4,U,2907
SVG,ENZV,Stavanger Airport Sola,Stavanger,Norway,Europe/Oslo,1,E,666
SVH,KSVH,Statesville Regional Airport,Statesville,United States,America/New_York,-5,A,8526
SVI,SKSV,Eduardo Falla Solano Airport,San Vincente De Caguan,Colombia,America/Bogota,-5,U,2750
SVJ,ENSH,Svolvær Helle Airport,Svolvær,Norway,Europe/Oslo,1,E,5587
SVL,EFSA,Savonlinna Airport,Savonlinna,Finland,Europe/Helsinki,2,E,455
SVN,KSVN,Hunter Army Air Field,Hunter Aaf,United States,America/New_York,-5,A,3441
SVO,UUEE,Sheremetyevo International Airport,Moscow,Russia,Europe/Moscow,3,N,2985
SVP,FNKU,Kuito Airport,Kuito,Angola,Africa/Luanda,1,N,949
SVQ,LEZL,Sevilla Airport,Sevilla,Spain,Europe/Madrid,1,E,1253
SVU,NFNS,Savusavu Airport,Savusavu,Fiji,Pacific/Fiji,12,U,5878
SVW,PASV,Sparrevohn LRRS Airport,Sparrevohn,United States,America/Anchorage,-9,A,3421
SVX,USSS,Koltsovo Airport,Yekaterinburg,Russia,Asia/Yekaterinburg,5,N,2975
SVZ,SVSA,San Antonio Del Tachira Airport,San Antonio,Venezuela,America/Caracas,-4,U,2858
SWA,ZGOW,Jieyang Chaoshan International Airport,Shantou,China,Asia/Shanghai,8,U,4302
SWD,PAWD,Seward Airport,Seward,United States,America/Anchorage,-9,U,6845
SWF,KSWF,Stewart International Airport,Newburgh,United States,America/New_York,-5,A,3661
SWJ,NVSX,Southwest Bay Airport,Malekula Island,Vanuatu,Pacific/Efate,11,U,5912
SWO,KSWO,Stillwater Regional Airport,Stillwater,United States,America/Chicago,-6,A,9776
SWP,FYSM,Swakopmund Airport,Swakopmund,Namibia,Africa/Windhoek,1,S,5644
SWQ,WADS,Sumbawa Besar Airport,Sumbawa Island,Indonesia,Asia/Makassar,8,N,6203
SWS,EGFH,Swansea Airport,Swansea,United Kingdom,Europe/London,0,E,489
SWT,UNSS,Strezhevoy Airport,Strezhevoy,Russia,Asia/Krasnoyarsk,7,N,7033
SWU,RKSW,Suwon Airport,Suwon,South Korea,Asia/Seoul,9,U,2379
SWX,FBSW,Shakawe Airport,Shakawe,Botswana,Africa/Gaborone,2,U,5609
SXB,LFST,Strasbourg Airport,Strasbourg,France,Europe/Paris,1,E,1435
SXF,EDDB,Berlin-Schönefeld Airport,Berlin,Germany,Europe/Berlin,1,E,337
SXI,OIBS,Sirri Island Airport,Siri Island,Iran,Asia/Tehran,3.5,E,2112
SXL,EISG,Sligo Airport,Sligo,Ireland,Europe/Dublin,0,E,604
SXM,TNCM,Princess Juliana International Airport,Philipsburg,Netherlands Antilles,America/Curacao,-4,U,2899
SXO,SWFX,São Félix do Araguaia Airport,Sao Felix do Araguaia,Brazil,America/Campo_Grande,-4,S,8243
SXQ,PASX,Soldotna Airport,Soldotna,United States,America/Anchorage,-9,U,7692
SXR,VISR,Sheikh ul Alam Airport,Srinagar,India,Asia/Calcutta,5.5,N,3112
SXV,VOSM,Salem Airport,Salem,India,Asia/Calcutta,5.5,N,3149
SXX,SNFX,São Félix do Xingu Airport,Sao Felix do Xingu,Brazil,America/Belem,-3,S,8241
SXZ,LTCL,Siirt Airport,Siirt,Turkey,Europe/Istanbul,3,E,1731
SYA,PASY,Eareckson Air Station,Shemya,United States,America/Adak,-10,A,3813
SYD,YSSY,Sydney Kingsford Smith International Airport,Sydney,Australia,Australia/Sydney,10,O,3361
SYH,VNSB,Syangboche Airport,Syangboche,Nepal,Asia/Katmandu,5.75,N,7766
SYJ,OIKY,Sirjan Airport,Sirjan,Iran,Asia/Tehran,3.5,E,2141
SYM,ZPSM,Pu'er Simao Airport,Simao,China,Asia/Shanghai,8,U,6377
SYO,RJSY,Shonai Airport,Shonai,Japan,Asia/Tokyo,9,U,6001
SYP,MPSA,Ruben Cantu Airport,Santiago,Panama,America/Panama,-5,U,1870
SYQ,MRPV,Tobias Bolanos International Airport,San Jose,Costa Rica,America/Costa_Rica,-6,U,5848
SYR,KSYR,Syracuse Hancock International Airport,Syracuse,United States,America/New_York,-5,A,3745
SYS,UERS,Saskylakh Airport,Saskylakh,Russia,Asia/Yakutsk,9,N,7476
SYT,LFLN,Saint-Yan Airport,St.-yan,France,Europe/Paris,1,E,1337
SYU,YWBS,Warraber Island Airport,Sue Islet,Australia,Australia/Brisbane,10,O,6332
SYW,OPSN,Sehwan Sharif Airport,Sehwan Sharif,Pakistan,Asia/Karachi,5,N,5950
SYX,ZJSY,Sanya Phoenix International Airport,Sanya,China,Asia/Shanghai,8,U,4030
SYY,EGPO,Stornoway Airport,Stornoway,United Kingdom,Europe/London,0,E,541
SYZ,OISS,Shiraz Shahid Dastghaib International Airport,Shiraz,Iran,Asia/Tehran,3.5,E,2157
SZA,FNSO,Soyo Airport,Soyo,Angola,Africa/Luanda,1,N,958
SZB,WMSA,Sultan Abdul Aziz Shah International Airport,Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur,8,N,3408
SZF,LTFH,Samsun Çarşamba Airport,Samsun,Turkey,Europe/Istanbul,3,E,5803
SZG,LOWS,Salzburg Airport,Salzburg,Austria,Europe/Vienna,1,E,1612
SZJ,MUSN,Siguanea Airport,Siguanea,Cuba,America/Havana,-5,U,1920
SZK,FASZ,Skukuza Airport,Skukuza,South Africa,Africa/Johannesburg,2,U,859
SZL,KSZL,Whiteman Air Force Base,Knobnoster,United States,America/Chicago,-6,A,3586
SZR,LBSZ,Stara Zagora Airport,Stara Zagora,Bulgaria,Europe/Sofia,2,E,1195
