iata,icao,name,city,country,timezone,utc_offset_hours,dst,openflights_id
AAA,NTGA,Anaa Airport,Anaa,French Polynesia,Pacific/Tahiti,-10,U,1973
AAC,HEAR,El Arish International Airport,El Arish,Egypt,Africa/Cairo,2,U,5690
AAE,DABB,Rabah Bitat Airport,Annaba,Algeria,Africa/Algiers,1,N,220
AAF,KAAF,Apalachicola Regional Airport,Apalachicola,United States,America/New_York,-5,A,8252
AAH,EDKA,Aachen-Merzbrück Airport,Aachen,Germany,Europe/Berlin,1,E,4165
AAL,EKYT,Aalborg Airport,Aalborg,Denmark,Europe/Copenhagen,1,E,628
AAM,FAMD,Malamala Airport,Malamala,South Africa,Africa/Johannesburg,2,U,5605
AAN,OMAL,Al Ain International Airport,Al Ain,United Arab Emirates,Asia/Dubai,4,U,5937
AAO,SVAN,Anaco Airport,Anaco,Venezuela,America/Caracas,-4,U,2819
AAP,KAAP,Andrau Airpark,Houston,United States,America/Chicago,-6,A,9225
AAQ,URKA,Anapa Vityazevo Airport,Anapa,Russia,Europe/Moscow,3,N,4353
AAR,EKAH,Aarhus Airport,Aarhus,Denmark,Europe/Copenhagen,1,E,607
AAT,ZWAT,Altay Air Base,Altay,China,Asia/Shanghai,8,U,6946
AAX,SBAX,Romeu Zema Airport,Araxa,Brazil,America/Sao_Paulo,-3,S,7395
AAY,OYGD,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,Asia/Aden,3,U,3979
AAZ,MGQZ,Quezaltenango Airport,Quezaltenango,Guatemala,America/Guatemala,-6,U,5813
ABA,UNAA,Abakan Airport,Abakan,Russia,Asia/Krasnoyarsk,7,N,2955
ABB,DNAS,Asaba International Airport,Asaba,Nigeria,Africa/Lagos,1,N,9825
ABC,LEAB,Albacete-Los Llanos Airport,Albacete,Spain,Europe/Madrid,1,E,1211
ABD,OIAA,Abadan Airport,Abadan,Iran,Asia/Tehran,3.5,E,2097
ABE,KABE,Lehigh Valley International Airport,Allentown,United States,America/New_York,-5,A,4355
ABF,NGAB,Abaiang Airport,Abaiang Atoll,Kiribati,Pacific/Tarawa,12,U,7320
ABI,KABI,Abilene Regional Airport,Abilene,United States,America/Chicago,-6,A,3718
ABJ,DIAP,Port Bouet Airport,Abidjan,Cote d'Ivoire,Africa/Abidjan,0,N,253
ABK,HAKD,Kabri Dehar Airport,Kabri Dehar,Ethiopia,Africa/Addis_Ababa,3,U,5682
ABL,PAFM,Ambler Airport,Ambler,United States,America/Anchorage,-9,A,7177
ABM,YBAM,Northern Peninsula Airport,Amberley,Australia,Australia/Brisbane,10,O,3318
ABN,SMBN,Albina Airport,Albina,Suriname,America/Paramaribo,-3,U,7325
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,United States,America/Denver,-7,A,4019
ABR,KABR,Aberdeen Regional Airport,Aberdeen,United States,America/Chicago,-6,A,5714
ABS,HEBL,Abu Simbel Airport,Abu Simbel,Egypt,Africa/Cairo,2,U,1127
ABT,OEBA,Al Baha Airport,El-baha,Saudi Arabia,Asia/Riyadh,3,U,2061
ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,Nigeria,Africa/Lagos,1,N,260
ABX,YMAY,Albury Airport,Albury,Australia,Australia/Sydney,10,O,3333
ABY,KABY,Southwest Georgia Regional Airport,Albany,United States,America/New_York,-5,A,5715
ABZ,EGPD,Aberdeen Dyce Airport,Aberdeen,United Kingdom,Europe/London,0,E,532
ACA,MMAA,General Juan N Alvarez International Airport,Acapulco,Mexico,America/Mexico_City,-6,S,1783
ACC,DGAA,Kotoka International Airport,Accra,Ghana,Africa/Accra,0,N,248
ACD,SKAD,Alcides Fernández Airport,Acandi,Colombia,America/Bogota,-5,U,7354
ACE,GCRR,Lanzarote Airport,Arrecife,Spain,Atlantic/Canary,0,E,1055
ACF,YBAF,Brisbane Archerfield Airport,Brisbane,Australia,Australia/Brisbane,10,O,3317
ACH,LSZR,St Gallen Altenrhein Airport,Altenrhein,Switzerland,Europe/Zurich,1,E,1679
ACI,EGJA,Alderney Airport,Alderney,Guernsey,Europe/Guernsey,0,E,497
ACJ,VCCA,Anuradhapura Air Force Base,Anuradhapura,Sri Lanka,Asia/Colombo,5.5,U,3025
ACK,KACK,Nantucket Memorial Airport,Nantucket,United States,America/New_York,-5,A,3517
ACN,MMCC,Ciudad Acuña New International Airport,Ciudad Acuna,Mexico,America/Mexico_City,-6,S,1788
ACP,OITM,Sahand Airport,Maragheh,Iran,Asia/Tehran,3.5,E,6746
ACR,SKAC,Araracuara Airport,Araracuara,Colombia,America/Bogota,-5,U,6740
ACT,KACT,Waco Regional Airport,Waco,United States,America/Chicago,-6,A,3700
ACV,KACV,California Redwood Coast-Humboldt County Airport,Arcata CA,United States,America/Los_Angeles,-8,A,4384
ACX,ZUYI,Xingyi Airport,Xingyi,China,Asia/Shanghai,8,U,7506
ACY,KACY,Atlantic City International Airport,Atlantic City,United States,America/New_York,-5,A,3524
ACZ,OIZB,Zabol Airport,Zabol,Iran,Asia/Tehran,3.5,E,2165
ADA,LTAF,Adana Airport,Adana,Turkey,Europe/Istanbul,3,E,1685
ADB,LTBJ,Adnan Menderes International Airport,Izmir,Turkey,Europe/Istanbul,3,E,1706
ADD,HAAB,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,Africa/Addis_Ababa,3,U,1107
ADE,OYAA,Aden International Airport,Aden,Yemen,Asia/Aden,3,U,3977
ADF,LTCP,Adıyaman Airport,Adiyaman,Turkey,Europe/Istanbul,3,E,5800
ADH,UEEA,Aldan Airport,Aldan,Russia,Asia/Yakutsk,9,N,9377
ADJ,OJAM,Amman-Marka International Airport,Amman,Jordan,Asia/Amman,2,E,2171
ADK,PADK,Adak Airport,Adak Island,United States,America/Adak,-10,A,5959
ADL,YPAD,Adelaide International Airport,Adelaide,Australia,Australia/Adelaide,9.5,O,3341
ADM,KADM,Ardmore Municipal Airport,Ardmore,United States,America/Chicago,-6,A,3654
ADP,VCCG,Ampara Airport,Galoya,Sri Lanka,Asia/Colombo,5.5,U,3028
ADQ,PADQ,Kodiak Airport,Kodiak,United States,America/Anchorage,-9,A,3531
ADS,KADS,Addison Airport,Addison,United States,America/Chicago,-6,A,7513
ADT,KADH,Ada Regional Airport,Ada,United States,America/Chicago,-6,A,9787
ADU,OITL,Ardabil Airport,Ardabil,Iran,Asia/Tehran,3.5,E,5935
ADW,KADW,Joint Base Andrews,Camp Springs,United States,America/New_York,-5,A,3552
ADX,EGQL,RAF Leuchars,Leuchars,United Kingdom,Europe/London,0,E,543
ADY,FAAL,Alldays Airport,Alldays,South Africa,Africa/Johannesburg,2,U,8702
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,America/Bogota,-5,U,2749
AEA,NGTB,Abemama Atoll Airport,Abemama,Kiribati,Pacific/Tarawa,12,U,7590
AEB,ZGBS,Baise Youjiang Airport,Baise,China,Asia/Shanghai,8,N,8082
AEG,WIME,Aek Godang Airport,Padang Sidempuan,Indonesia,Asia/Jakarta,7,N,3277
AEH,FTTC,Abeche Airport,Abeche,Chad,Africa/Ndjamena,1,N,997
AEO,GQNA,Aioun el Atrouss Airport,Aioun El Atrouss,Mauritania,Africa/Nouakchott,0,N,1089
AEP,SABE,Jorge Newbery Airpark,Buenos Aires,Argentina,America/Buenos_Aires,-3,N,2442
AER,URSS,Sochi International Airport,Sochi,Russia,Europe/Moscow,3,N,2965
AES,ENAL,Ålesund Airport,Alesund,Norway,Europe/Oslo,1,E,630
AET,PFAL,Allakaket Airport,Allakaket,United States,America/Anchorage,-9,A,6839
AEU,OIBA,Abu Musa Island Airport,Abumusa I.,Iran,Asia/Tehran,3.5,E,2105
AEX,KAEX,Alexandria International Airport,Alexandria,United States,America/Chicago,-6,A,3852
AEY,BIAR,Akureyri Airport,Akureyri,Iceland,Atlantic/Reykjavik,0,N,11
AFA,SAMR,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,America/Mendoza,-3,N,2454
AFL,SBAT,Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,America/Campo_Grande,-4,S,2524
AFS,UTSN,Sugraly Airport,Zarafshan,Uzbekistan,Asia/Samarkand,5,U,6754
AFT,AGAF,Afutara Aerodrome,Afutara,Solomon Islands,Pacific/Guadalcanal,11,U,7615
AFW,KAFW,Fort Worth Alliance Airport,Fort Worth,United States,America/Chicago,-6,A,8342
AFY,LTAH,Afyon Airport,Afyon,Turkey,Europe/Istanbul,3,E,1687
AFZ,OIMS,Sabzevar National Airport,Sabzevar,Iran,Asia/Tehran,3.5,E,5931
AGA,GMAD,Al Massira Airport,Agadir,Morocco,Africa/Casablanca,0,N,1064
AGB,EDMA,Augsburg Airport,Augsburg,Germany,Europe/Berlin,1,E,374
AGC,KAGC,Allegheny County Airport,Pittsburgh,United States,America/New_York,-5,A,7495
AGE,EDWG,Wangerooge Airport,Wangerooge,Germany,Europe/Berlin,1,E,6911
AGF,LFBA,Agen-La Garenne Airport,Agen,France,Europe/Paris,1,E,1262
AGH,ESTA,Ängelholm-Helsingborg Airport,Ängelholm,Sweden,Europe/Stockholm,1,E,5597
AGI,SMWA,Wageningen Airstrip,Wageningen,Suriname,America/Paramaribo,-3,U,7341
AGJ,RORA,Aguni Airport,Aguni,Japan,Asia/Tokyo,9,U,7552
AGN,PAGN,Angoon Seaplane Base,Angoon,United States,America/Anchorage,-9,A,7135
AGP,LEMG,Málaga Airport,Malaga,Spain,Europe/Madrid,1,E,1230
AGQ,LGAG,Agrinion Air Base,Agrinion,Greece,Europe/Athens,2,E,1445
AGR,VIAG,Agra Airport,Agra,India,Asia/Calcutta,5.5,N,3079
AGS,KAGS,Augusta Regional At Bush Field,Bush Field,United States,America/New_York,-5,A,3658
AGT,SGES,Guarani International Airport,Ciudad del Este,Paraguay,America/Asuncion,-4,S,4305
AGU,MMAS,Jesús Terán Paredo International Airport,Aguascalientes,Mexico,America/Mexico_City,-6,S,1785
AGV,SVAC,Oswaldo Guevara Mujica Airport,Acarigua,Venezuela,America/Caracas,-4,U,2818
AGX,VOAT,Agatti Airport,Agatti Island,India,Asia/Calcutta,5.5,N,3130
AGZ,FAAG,Aggeneys Airport,Aggeneys,South Africa,Africa/Johannesburg,2,U,791
AHB,OEAB,Abha Regional Airport,Abha,Saudi Arabia,Asia/Riyadh,3,U,2059
AHE,NTHE,Ahe Airport,Ahe,French Polynesia,Pacific/Tahiti,-10,U,5889
AHN,KAHN,Athens Ben Epps Airport,Athens,United States,America/New_York,-5,A,5716
AHO,LIEA,Alghero-Fertilia Airport,Alghero,Italy,Europe/Rome,1,E,1517
AHS,MHAH,Ahuas Airport,Ahuas,Honduras,America/Tegucigalpa,-6,U,5831
AHU,GMTA,Cherif Al Idrissi Airport,Al Hociema,Morocco,Africa/Casablanca,0,N,1078
AIA,KAIA,Alliance Municipal Airport,Alliance,United States,America/Denver,-7,A,7067
AIK,KAIK,Aiken Regional Airport,Aiken,United States,America/New_York,-5,A,8515
AIN,PAWI,Wainwright Airport,Wainwright,United States,America/Anchorage,-9,A,7220
AIS,NGTR,Arorae Island Airport,Arorae,Kiribati,Pacific/Tarawa,12,U,7593
AIT,NCAI,Aitutaki Airport,Aitutaki,Cook Islands,Pacific/Rarotonga,-10,U,1958
AIU,NCAT,Enua Airport,Atiu Island,Cook Islands,Pacific/Rarotonga,-10,U,5861
AIZ,KAIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,America/Chicago,-6,A,7991
AJA,LFKJ,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,Europe/Paris,1,E,1324
AJF,OESK,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,Asia/Riyadh,3,U,5925
AJI,LTCO,Ağrı Airport,Agri,Turkey,Europe/Istanbul,3,E,5799
AJK,OIHR,Arak Airport,Arak,Iran,Asia/Tehran,3.5,E,2125
AJL,VELP,Lengpui Airport,Aizwal,India,Asia/Calcutta,5.5,N,3039
AJN,FMCV,Ouani Airport,Anjouan,Comoros,Indian/Comoro,3,U,914
AJR,ESNX,Arvidsjaur Airport,Arvidsjaur,Sweden,Europe/Stockholm,1,E,730
AJU,SBAR,Santa Maria Airport,Aracaju,Brazil,America/Fortaleza,-3,S,2522
AJY,DRZA,Mano Dayak International Airport,Agadez,Niger,Africa/Niamey,1,N,282
AKA,ZLAK,Ankang Wulipu Airport,Ankang,China,Asia/Shanghai,8,U,6362
AKB,PAAK,Atka Airport,Atka,United States,America/Adak,-10,A,7195
AKC,KAKR,Akron Fulton International Airport,Akron,United States,America/New_York,-5,A,3587
AKD,VAAK,Akola Airport,Akola,India,Asia/Calcutta,5.5,N,2995
AKF,HLKF,Kufra Airport,Kufra,Libya,Africa/Tripoli,2,N,1153
AKH,OEPS,Prince Sultan Air Base,Al Kharj,Saudi Arabia,Asia/Riyadh,3,N,7037
AKI,PFAK,Akiak Airport,Akiak,United States,America/Anchorage,-9,A,7217
AKJ,RJEC,Asahikawa Airport,Asahikawa,Japan,Asia/Tokyo,9,U,2299
AKK,PAKH,Akhiok Airport,Akhiok,United States,America/Anchorage,-9,A,7160
AKL,NZAA,Auckland International Airport,Auckland,New Zealand,Pacific/Auckland,12,Z,2006
AKN,PAKN,King Salmon Airport,King Salmon,United States,America/Anchorage,-9,A,3794
AKO,KAKO,Colorado Plains Regional Airport,Akron,United States,America/Denver,-7,A,9546
AKP,PAKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,America/Anchorage,-9,A,6712
AKR,DNAK,Akure Airport,Akure,Nigeria,Africa/Lagos,1,N,261
AKS,AGGA,Gwaunaru'u Airport,Auki,Solomon Islands,Pacific/Guadalcanal,11,U,5405
AKT,LCRA,RAF Akrotiri,Akrotiri,Cyprus,Europe/London,0,E,1199
AKU,ZWAK,Aksu Airport,Aksu,China,Asia/Shanghai,8,U,6404
AKV,CYKO,Akulivik Airport,Akulivik,Canada,America/Toronto,-5,A,5506
AKW,OIAG,Aghajari Airport,Aghajari,Iran,Asia/Tehran,3.5,E,2099
AKX,UATT,Aktobe Airport,Aktyubinsk,Kazakhstan,Asia/Oral,5,U,2920
AKY,VYSW,Sittwe Airport,Sittwe,Burma,Asia/Rangoon,6.5,U,3235
ALA,UAAA,Almaty Airport,Alma-ata,Kazakhstan,Asia/Qyzylorda,6,U,2908
ALB,KALB,Albany International Airport,Albany,United States,America/New_York,-5,A,3864
ALC,LEAL,Alicante International Airport,Alicante,Spain,Europe/Madrid,1,E,1212
ALF,ENAT,Alta Airport,Alta,Norway,Europe/Oslo,1,E,632
ALG,DAAG,Houari Boumediene Airport,Algier,Algeria,Africa/Algiers,1,N,210
ALH,YABA,Albany Airport,Albany,Australia,Australia/Perth,8,O,6235
ALI,KALI,Alice International Airport,Alice,United States,America/Chicago,-6,A,3574
ALJ,FAAB,Alexander Bay Airport,Alexander Bay,South Africa,Africa/Johannesburg,2,U,790
ALL,LIMG,Villanova D'Albenga International Airport,Albenga,Italy,Europe/Rome,1,E,1527
ALM,KALM,Alamogordo White Sands Regional Airport,Alamogordo,United States,America/Denver,-7,A,5717
ALO,KALO,Waterloo Regional Airport,Waterloo,United States,America/Chicago,-6,A,5718
ALP,OSAP,Aleppo International Airport,Aleppo,Syria,Asia/Damascus,2,E,2235
ALR,NZLX,Alexandra Airport,Alexandra,New Zealand,Pacific/Auckland,12,Z,2019
ALS,KALS,San Luis Valley Regional Bergman Field,Alamosa,United States,America/Denver,-7,A,7073
ALU,HCMA,Alula Airport,Alula,Somalia,Africa/Mogadishu,3,U,5685
ALW,KALW,Walla Walla Regional Airport,Walla Walla,United States,America/Los_Angeles,-8,A,5719
ALY,HEAX,El Nouzha Airport,Alexandria,Egypt,Africa/Cairo,2,U,1126
AMA,KAMA,Rick Husband Amarillo International Airport,Amarillo,United States,America/Chicago,-6,A,3840
AMB,FMNE,Ambilobe Airport,Ambilobe,Madagascar,Indian/Antananarivo,3,U,926
AMC,FTTN,Am Timan Airport,Am Timan,Chad,Africa/Ndjamena,1,U,7413
AMD,VAAH,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,Asia/Calcutta,5.5,N,2994
AMH,HAAM,Arba Minch Airport,Arba Minch,Ethiopia,Africa/Addis_Ababa,3,U,1109
AMI,WADA,Selaparang Airport,Mataram,Indonesia,Asia/Makassar,8,N,3923
AMM,OJAI,Queen Alia International Airport,Amman,Jordan,Asia/Amman,2,E,2170
AMQ,WAPP,"Pattimura Airport, Ambon",Ambon,Indonesia,Asia/Jayapura,9,N,3256
AMS,EHAM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Europe/Amsterdam,1,E,580
AMV,ULDD,Amderma Airport,Amderma,Russia,Europe/Moscow,3,N,6112
AMZ,NZAR,Ardmore Airport,Ardmore,New Zealand,Pacific/Auckland,12,Z,2008
ANB,KANB,Anniston Regional Airport,Anniston,United States,America/Chicago,-6,A,3485
ANC,PANC,Ted Stevens Anchorage International Airport,Anchorage,United States,America/Anchorage,-9,A,3774
AND,KAND,Anderson Regional Airport,Andersen,United States,America/New_York,-5,A,3466
ANE,LFJR,Angers-Loire Airport,Angers/Marcé,France,Europe/Paris,1,E,5783
ANF,SCFA,Andrés Sabella Gálvez International Airport,Antofagasta,Chile,America/Santiago,-4,S,2651
ANG,LFBU,Angoulême-Brie-Champniers Airport,Angouleme,France,Europe/Paris,1,E,1277
ANI,PANI,Aniak Airport,Aniak,United States,America/Anchorage,-9,A,5967
ANK,LTAD,Etimesgut Air Base,Ankara,Turkey,Europe/Istanbul,3,E,1683
ANM,FMNH,Antsirabato Airport,Antalaha,Madagascar,Indian/Antananarivo,3,U,927
ANN,PANT,Annette Island Airport,Annette Island,United States,America/Anchorage,-9,A,3477
ANP,KANP,Lee Airport,Annapolis,United States,America/New_York,-5,A,8935
ANQ,KANQ,Tri State Steuben County Airport,Angola,United States,America/New_York,-5,A,8553
ANR,EBAW,Antwerp International Airport (Deurne),Antwerp,Belgium,Europe/Brussels,1,E,299
ANS,SPHY,Andahuaylas Airport,Andahuaylas,Peru,America/Lima,-5,U,2787
ANU,TAPA,V.C. Bird International Airport,Antigua,Antigua and Barbuda,America/Antigua,-4,U,2874
ANV,PANV,Anvik Airport,Anvik,United States,America/Anchorage,-9,A,6713
ANX,ENAN,Andøya Airport,Andoya,Norway,Europe/Oslo,1,E,631
AOC,EDAC,Altenburg-Nobitz Airport,Altenburg,Germany,Europe/Berlin,1,E,318
AOE,LTBY,Anadolu Airport,Eskissehir,Turkey,Europe/Istanbul,3,E,6780
AOG,ZYAS,Anshan Air Base,Anshan,China,Asia/Shanghai,8,N,9844
AOH,KAOH,Lima Allen County Airport,Lima,United States,America/New_York,-5,A,8784
AOI,LIPY,Ancona Falconara Airport,Ancona,Italy,Europe/Rome,1,E,4309
AOJ,RJSA,Aomori Airport,Aomori,Japan,Asia/Tokyo,9,U,2340
AOK,LGKP,Karpathos Airport,Karpathos,Greece,Europe/Athens,2,E,1459
AOL,SARL,Paso De Los Libres Airport,Paso De Los Libres,Argentina,America/Cordoba,-3,N,2472
AOO,KAOO,Altoona Blair County Airport,Altoona,United States,America/New_York,-5,A,3694
AOP,SPAS,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,Peru,America/Lima,-5,U,2777
AOR,WMKA,Sultan Abdul Halim Airport,Alor Setar,Malaysia,Asia/Kuala_Lumpur,8,N,3296
AOT,LIMW,Aosta Airport,Aosta,Italy,Europe/Rome,1,E,5791
APA,KAPA,Centennial Airport,Denver,United States,America/Denver,-7,A,4222
APC,KAPC,Napa County Airport,Napa,United States,America/Los_Angeles,-8,A,7658
APF,KAPF,Naples Municipal Airport,Naples,United States,America/New_York,-5,A,4012
APG,KAPG,Phillips Army Air Field,Aberdeen,United States,America/New_York,-5,A,3772
APK,NTGD,Apataki Airport,Apataki,French Polynesia,Pacific/Tahiti,-10,U,5888
APL,FQNP,Nampula Airport,Nampula,Mozambique,Africa/Maputo,2,U,984
APN,KAPN,Alpena County Regional Airport,Alpena,United States,America/New_York,-5,A,5720
APO,SKLC,Antonio Roldan Betancourt Airport,Carepa,Colombia,America/Bogota,-5,U,2726
APW,NSFA,Faleolo International Airport,Faleolo,Samoa,Pacific/Apia,13,U,1969
APZ,SAHZ,Zapala Airport,ZAPALA,Argentina,America/Argentina/Salta,-3,N,7221
AQA,SBAQ,Araraquara Airport,Araracuara,Brazil,America/Sao_Paulo,-3,S,2521
AQB,MGQC,Santa Cruz del Quiche Airport,Santa Cruz des Quiche,Guatemala,America/Guatemala,-6,S,9393
AQG,ZSAQ,Anqing Tianzhushan Airport,Anqing,China,Asia/Shanghai,8,N,6427
AQI,OEPA,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,Asia/Riyadh,3,U,2076
AQJ,OJAQ,Aqaba King Hussein International Airport,Aqaba,Jordan,Asia/Amman,2,E,2172
AQP,SPQU,Rodríguez Ballón International Airport,Arequipa,Peru,America/Lima,-5,U,2802
ARA,KARA,Acadiana Regional Airport,Louisiana,United States,America/Chicago,-6,A,3471
ARB,KARB,Ann Arbor Municipal Airport,Ann Arbor,United States,America/New_York,-5,A,8989
ARC,PARC,Arctic Village Airport,Arctic Village,United States,America/Anchorage,-9,A,6729
ARD,WATM,Mali Airport,Alor Island,Indonesia,Asia/Makassar,8,N,6213
ARE,TJAB,Antonio Nery Juarbe Pol Airport,Arecibo,Puerto Rico,America/Puerto_Rico,-4,N,6917
ARH,ULAA,Talagi Airport,Arkhangelsk,Russia,Europe/Moscow,3,N,4362
ARI,SCAR,Chacalluta Airport,Arica,Chile,America/Santiago,-4,S,2641
ARK,HTAR,Arusha Airport,Arusha,Tanzania,Africa/Dar_es_Salaam,3,U,1176
ARM,YARM,Armidale Airport,Armidale,Australia,Australia/Sydney,10,O,4062
ARN,ESSA,Stockholm-Arlanda Airport,Stockholm,Sweden,Europe/Stockholm,1,E,737
ARR,SAVR,D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,America/Catamarca,-3,N,7311
ART,KART,Watertown International Airport,Watertown,United States,America/New_York,-5,A,3838
ARU,SBAU,Araçatuba Airport,Aracatuba,Brazil,America/Sao_Paulo,-3,S,2525
ARV,KARV,Lakeland-Noble F. Lee Memorial field,Minocqua - Woodruff,United States,America/Chicago,-6,A,7020
ARW,LRAR,Arad International Airport,Arad,Romania,Europe/Bucharest,2,E,1647
ASA,HHSB,Assab International Airport,Assab,Eritrea,Africa/Asmera,3,U,3966
ASB,UTAA,Ashgabat International Airport,Ashkhabad,Turkmenistan,Asia/Ashgabat,5,U,2976
ASD,MYAF,Andros Town Airport,Andros Town,Bahamas,America/Nassau,-5,U,1928
ASE,KASE,Aspen-Pitkin Co/Sardy Field,Aspen,United States,America/Denver,-7,A,7001
ASF,URWA,Astrakhan Airport,Astrakhan,Russia,Europe/Samara,4,N,2966
ASH,KASH,Boire Field,Nashua,United States,America/New_York,-5,A,8287
ASI,FHAW,RAF Ascension Island,Wide Awake,Saint Helena,Atlantic/St_Helena,0,N,892
ASJ,RJKA,Amami Airport,Amami,Japan,Asia/Tokyo,9,U,2316
ASK,DIYO,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,Africa/Abidjan,0,N,259
ASM,HHAS,Asmara International Airport,Asmara,Eritrea,Africa/Asmera,3,U,3967
ASO,HASO,Asosa Airport,Asosa,Ethiopia,Africa/Addis_Ababa,3,U,1119
ASP,YBAS,Alice Springs Airport,Alice Springs,Australia,Australia/Darwin,9.5,N,3319
ASR,LTAU,Kayseri Erkilet Airport,Kayseri,Turkey,Europe/Istanbul,3,E,1696
AST,KAST,Astoria Regional Airport,Astoria,United States,America/Los_Angeles,-8,A,7085
ASU,SGAS,Silvio Pettirossi International Airport,Asuncion,Paraguay,America/Asuncion,-4,S,2699
ASV,HKAM,Amboseli Airport,Amboseli National Park,Kenya,Africa/Nairobi,3,U,5692
ASW,HESN,Aswan International Airport,Aswan,Egypt,Africa/Cairo,2,U,1136
ATA,SPHZ,Comandante FAP German Arias Graziani Airport,Anta,Peru,America/Lima,-5,U,2788
ATB,HSAT,Atbara Airport,Atbara,Sudan,Africa/Khartoum,3,U,5700
ATC,MYCA,Arthur's Town Airport,Arthur's Town,Bahamas,America/Nassau,-5,U,5857
ATD,AGAT,Uru Harbour Airport,Atoifi,Solomon Islands,Pacific/Guadalcanal,11,U,5404
ATF,SEAM,Chachoán Airport,Ambato,Ecuador,America/Guayaquil,-5,U,2668
ATH,LGAV,Eleftherios Venizelos International Airport,Athens,Greece,Europe/Athens,2,E,3941
ATJ,FMME,Antsirabe Airport,Antsirabe,Madagascar,Indian/Antananarivo,3,U,8721
ATK,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States,America/Anchorage,-9,A,6714
ATL,KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,America/New_York,-5,A,3682
ATM,SBHT,Altamira Airport,Altamira,Brazil,America/Belem,-3,S,2566
ATO,KUNI,Ohio University Snyder Field,Athens,United States,America/New_York,-5,U,7907
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport,Amritsar,India,Asia/Calcutta,5.5,N,3081
ATR,GQPA,Atar International Airport,Atar,Mauritania,Africa/Nouakchott,0,N,1096
ATW,KATW,Appleton International Airport,Appleton,United States,America/Chicago,-6,A,4047
ATY,KATY,Watertown Regional Airport,Watertown,United States,America/Chicago,-6,A,5721
ATZ,HEAT,Assiut International Airport,Asyut,Egypt,Africa/Cairo,2,U,5691
AUA,TNCA,Queen Beatrix International Airport,Oranjestad,Aruba,America/Aruba,-4,U,2895
AUC,SKUC,Santiago Perez Airport,Arauca,Colombia,America/Bogota,-5,U,2752
AUF,LFLA,Auxerre-Branches Airport,Auxerre,France,Europe/Paris,1,E,1328
AUG,KAUG,Augusta State Airport,Augusta,United States,America/New_York,-5,A,3701
AUH,OMAA,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,Asia/Dubai,4,U,2179
AUK,PAUK,Alakanuk Airport,Alakanuk,United States,America/Anchorage,-9,A,7199
AUO,KAUO,Auburn University Regional Airport,Auburn,United States,America/Chicago,-6,A,9418
AUQ,NTMN,Hiva Oa-Atuona Airport,Hiva-oa,French Polynesia,Pacific/Marquesas,-9.5,U,5890
AUR,LFLW,Aurillac Airport,Aurillac,France,Europe/Paris,1,E,1344
AUS,KAUS,Austin Bergstrom International Airport,Austin,United States,America/Chicago,-6,A,3673
AUU,YAUR,Aurukun Airport,Aurukun,Australia,Australia/Brisbane,10,O,6237
AUW,KAUW,Wausau Downtown Airport,Wausau,United States,America/Chicago,-6,U,6853
AUX,SWGN,Araguaína Airport,Araguaina,Brazil,America/Fortaleza,-3,S,7376
AUY,NVVA,Aneityum Airport,Anelghowhat,Vanuatu,Pacific/Efate,11,U,5914
AVA,ZUAS,Anshun Huangguoshu Airport,Anshun,China,Asia/Shanghai,8,N,9849
AVB,LIPA,Aviano Air Base,Aviano,Italy,Europe/Rome,1,E,1535
AVI,MUCA,Maximo Gomez Airport,Ciego De Avila,Cuba,America/Havana,-5,U,1900
AVK,ZMAH,Arvaikheer Airport,Arvaikheer,Mongolia,Asia/Ulaanbaatar,8,U,6369
AVL,KAVL,Asheville Regional Airport,Asheville,United States,America/New_York,-5,A,4007
AVN,LFMV,Avignon-Caumont Airport,Avignon,France,Europe/Paris,1,E,1361
AVO,KAVO,Avon Park Executive Airport,Avon Park,United States,America/New_York,-5,A,8507
AVP,KAVP,Wilkes Barre Scranton International Airport,Scranton,United States,America/New_York,-5,A,4286
AVR,LPAR,Alverca Air Base,Alverca,Portugal,Europe/Lisbon,0,E,1616
AVV,YMAV,Avalon Airport,Avalon,Australia,Australia/Hobart,10,O,3332
AVW,KAVQ,Marana Regional Airport,Tucson,United States,America/Phoenix,-7,U,7979
